university,university-href,col-list,col-list-href,College Name,College Category,Approved By,College Code,Affiliated University,Established Year,College Type,Institution Type,Address,Pin Code,Location,District,Contact Number 1,Contact Number 2,Courses
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","Sri Sankar College of Ayurveda, Trichy","http://www.colleges-in-tamilnadu.com/colleges/1490/Sri-Sankar-College-of-Ayurveda.html","Sri Sankar College of Ayurveda","Ayurveda","null","null","Tamil Nadu Dr. M.G.R. Medical University","null","Co-Education","Self Finance","Sri Sankar College of Ayurveda

Sanasipatti

Trichy","620 009","Trichy","Trichy","null","null","[{""Courses"":""» B.A.M.S - Ayurveda Medicine and Surgery""}]"
"Deemed University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/27/Deemed-University-Affiliated-Colleges.html","Chettinad University (Chettinad Hospital and Research Institute), Padur, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/1477/Chettinad-University-Chettinad-Hospital-and-Research-Institute.html","Chettinad University (Chettinad Hospital and Research Institute)","Medical","MCI","null","Deemed University","2006","Co-Education","Self Finance","Chettinad University (Chettinad Hospital and Research Institute)

Old Mahabalipuram Road

Padur","603 103","Padur","Kanchipuram","null","null","[{""Courses"":""» M.B.B.S. - Medicine and Surgery""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","V.E.T. College of Education, Tirunelveli","http://www.colleges-in-tamilnadu.com/colleges/2904/V-E-T-College-of-Education.html","V.E.T. College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","V.E.T. College of Education

S.M.V. Compound

Near E.B. Sub Station Main Road

Panagudi

Tirunelveli","627 109","Tirunelveli","Tirunelveli","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"University of Madras","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/26/University-of-Madras-Affiliated-Colleges.html","A.A. Arts and Science College (Women), Chennai","http://www.colleges-in-tamilnadu.com/colleges/12/A-A-Arts-and-Science-College-Women.html","A.A. Arts and Science College (Women)","Arts & Science","null","null","University of Madras","1985","Womens","Self Finance","A.A. Arts and Science College (Women), Chennai

No.42/1, Srinivasan Nagar

Iind Street

Koyambedu

Chennai","600 107","Chennai","Chennai","null","null","[{""Courses"":""» B.Sc. - Bio-Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.Com. - Corporate Secretaryship""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - Corporate Secretaryship""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sri Kalaimagal College of Education, Tirupattur, Vellore","http://www.colleges-in-tamilnadu.com/colleges/2657/Sri-Kalaimagal-College-of-Education.html","Sri Kalaimagal College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Sri Kalaimagal College of Education

No.89/2, NH 46, Atturkuppam Village

Natrampalli

Tirupattur","","Tirupattur","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Naina Mohamed College of Education, Aranthangi, Pudukottai","http://www.colleges-in-tamilnadu.com/colleges/2359/Naina-Mohamed-College-of-Education.html","Naina Mohamed College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2007","Co-Education","Self Finance","Naina Mohamed College of Education

Rajendrapuram

Aranthangi

Pudukottai","","Aranthangi","Pudukottai","null","null","[{""Courses"":""» D.T.Ed. - Dip. in Teacher Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","St. Johns College of Education for Women, Vellore","http://www.colleges-in-tamilnadu.com/colleges/2789/St-Johns-College-of-Education-for-Women.html","St. Johns College of Education for Women","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Womens","Self Finance","St. Johns College of Education for Women

Post Box 201

Dhanusu Complex

New Sankaranpalyam Road

Tollgate

Vellore","632 011","Vellore","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"University of Madras","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/26/University-of-Madras-Affiliated-Colleges.html","Loyola College (Autonomous), Chennai","http://www.colleges-in-tamilnadu.com/colleges/231/Loyola-College-Autonomous.html","Loyola College (Autonomous)","Arts & Science","NAAC","null","University of Madras","1925","Co-Education","Aided","Loyola College (Autonomous)

Sterling Road

Nungambakkam

Chennai","600 034","Chennai","Chennai","null","null","[{""Courses"":""» B.Sc. - Bio-Technology""},{""Courses"":""» B.Sc. - Botany""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Statistics""},{""Courses"":""» B.Sc. - Visual Communication""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.Com. - Corporate Secretaryship""},{""Courses"":""» B.C.S. - Corporate Secretaryship""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - Economics""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» B.A. - Sociology""},{""Courses"":""» B.A. - Tamil""},{""Courses"":""» M.Sc. - Bio-Technology""},{""Courses"":""» M.Sc. - Biomedical Science""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Sc. - Statistics""},{""Courses"":""» M.Sc. - Zoology""},{""Courses"":""» M.S.W. - Social Work""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.A. - Economics""},{""Courses"":""» M.A. - English""},{""Courses"":""» M.A. - History""},{""Courses"":""» M.A. - Philosophy""},{""Courses"":""» M.A. - Sociology""},{""Courses"":""» Ph.D. - Chemistry""},{""Courses"":""» Ph.D. - Commerce""},{""Courses"":""» Ph.D. - Mathematics""},{""Courses"":""» Ph.D. - Physics""},{""Courses"":""» Ph.D. - Social Work""},{""Courses"":""» Ph.D. - Statistics""},{""Courses"":""» Ph.D. - Zoology""},{""Courses"":""» M.Phil. - Chemistry""},{""Courses"":""» M.Phil. - Commerce""},{""Courses"":""» M.Phil. - Economics""},{""Courses"":""» M.Phil. - Mathematics""},{""Courses"":""» M.Phil. - Physics""},{""Courses"":""» M.Phil. - Social Work""},{""Courses"":""» M.Phil. - Statistics""},{""Courses"":""» M.Phil. - Zoology""}]"
"Deemed University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/27/Deemed-University-Affiliated-Colleges.html","Bharath University (Bharath Institute of Higher Education and Research), Selaiyur, Chennai","http://www.colleges-in-tamilnadu.com/colleges/601/Bharath-University-Bharath-Institute-of-Higher-Education-and-Research.html","null","null","null","null","null","null","null","null","null","null","null","null","null","null","[]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","R.M.P. C.S.I. P.S.K. Rajaratnam Memorial College of Education, Tuticorin","http://www.colleges-in-tamilnadu.com/colleges/2450/R-M-P-C-S-I-P-S-K-Rajaratnam-Memorial-College-of-Education.html","R.M.P. C.S.I. P.S.K. Rajaratnam Memorial College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","R.M.P. C.S.I. P.S.K. Rajaratnam Memorial College of Education

Sathankulam

Tuticorin","628 704","Tuticorin","Tuticorin","null","null","[{""Courses"":""» B.Ed. - Education""}]"
