university,university-href,col-list,col-list-href,College Name,College Category,Approved By,College Code,Affiliated University,Established Year,College Type,Institution Type,Address,Pin Code,Location,District,Contact Number 1,Contact Number 2,Courses
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Sri Padmavathy College of Engineering, Sriperambudur, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/972/Sri-Padmavathy-College-of-Engineering.html","Sri Padmavathy College of Engineering","Engineering","AICTE","1220","Anna University","1999","Co-Education","Self Finance","Sri Padmavathy College of Engineering,

Mevalur Kuppam,

Sriperumbathur,

Valarpuram,

Kanchipuram.","602 105","Sriperambudur","Kanchipuram","044-27197501","044-24352883","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Gnanamani College of Education, Rasipuram, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/2042/Gnanamani-College-of-Education.html","Gnanamani College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Gnanamani College of Education

No.9, Pudupalayam Road

Rasipuram","637 408","Rasipuram","Namakkal","null","null","[{""Courses"":""» B.P.Ed. - Physical Education""},{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""},{""Courses"":""» D.T.Ed. - Dip. in Teacher Education""}]"
"Madurai Kamaraj University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/12/Madurai-Kamaraj-University-Affiliated-Colleges.html","Sri S. Ramasamy Naidu Memorial College, Virudhunagar","http://www.colleges-in-tamilnadu.com/colleges/381/Sri-S-Ramasamy-Naidu-Memorial-College.html","Sri S. Ramasamy Naidu Memorial College","Arts & Science","null","null","Madurai Kamaraj University","1970","Co-Education","Aided","Sri S. Ramasamy Naidu Memorial College

Sattur","626 203","Virudhunagar","Virudhunagar","null","null","[{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Nutrition & Dietetics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Information Technology""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» P.G.D.C.A - Computer Applications""},{""Courses"":""» Ph.D. - Commerce""},{""Courses"":""» M.Phil. - Commerce""}]"
"University of Madras","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/26/University-of-Madras-Affiliated-Colleges.html","Indian Harvard Arts and Science College, Chennai","http://www.colleges-in-tamilnadu.com/colleges/180/Indian-Harvard-Arts-and-Science-College.html","Indian Harvard Arts and Science College","Arts & Science","null","null","University of Madras","2000","Co-Education","Self Finance","Indian Harvard Arts and Science College

No.2, Manimegalai Street

Pallikkarani

Chennai","601 302","Chennai","Chennai","null","null","[{""Courses"":""» B.Sc. - Microbiology""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""}]"
"Tiruvalluvar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/25/Tiruvalluvar-University-Affiliated-Colleges.html","Sri Bharathivelu Arts and Science College, Vellore","http://www.colleges-in-tamilnadu.com/colleges/438/Sri-Bharathivelu-Arts-and-Science-College.html","Sri Bharathivelu Arts and Science College","Arts & Science","null","null","Tiruvalluvar University","null","Co-Education","Self Finance","Sri Bharathivelu Arts and Science College

Kalpattu Village

Walaja Taluk,Vellore.","","Vellore","Vellore","null","null","[]"
"Anna University - Tirunelveli","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/5/Anna-University-Tirunelveli-Affiliated-Colleges.html","M.E.T. Engineering College, Thovalai, Kanyakumari","http://www.colleges-in-tamilnadu.com/colleges/773/M-E-T-Engineering-College.html","M.E.T. Engineering College","Engineering","null","4929","Anna University - Tirunelveli","2009","Co-Education","Self Finance","M.E.T. Engineering College,

Mogals Garden,

Aralvaimozhi,

Thovalai,

Kanyakumari.","629 304","Thovalai","Kanyakumari","04652262623","null","[{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Anna University - Trichy","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/4/Anna-University-Trichy-Affiliated-Colleges.html","SMR East Coast College of Engineering and Technology, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/954/SMR-East-Coast-College-of-Engineering-and-Technology.html","SMR East Coast College of Engineering and Technology","Engineering","AICTE","3451","Anna University - Trichy","2010","Co-Education","Self Finance","SMR East Coast College of Engineering and Technology,

East Coast Road (ECR),

Somanathapattinam,

Thiruvathevan,

Thanjavur.","614 612","Thanjavur","Thanjavur","04373-279430","04373-292929","[{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tiruvalluvar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/25/Tiruvalluvar-University-Affiliated-Colleges.html","Auxilium College, Katpadi, Vellore","http://www.colleges-in-tamilnadu.com/colleges/11/Auxilium-College.html","Auxilium College","Arts & Science","NAAC","null","Tiruvalluvar University","1954","Co-Education","Aided","Auxilium College,

Gandhi Nagar,

Katpadi,

Vellore","632 006","Katpadi","Vellore","241 774","247 281","[{""Courses"":""» B.Sc. - Bio-Chemistry""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Microbiology""},{""Courses"":""» B.Sc. - Physical Education""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» M.Sc. - Bio-Informatics""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Electronic Media""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.S.W. - Social Work""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.A. - English""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Kalaimahal College of Education, Nagapatinam, Nagapattinam","http://www.colleges-in-tamilnadu.com/colleges/2178/Kalaimahal-College-of-Education.html","Kalaimahal College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Kalaimahal College of Education

No.3/131, Main Road

Sembanarkoil Post

Tranquebar Taluk

Nagapattinam","609 309","Nagapatinam","Nagapattinam","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Ponnusamy Nadar College of Education, Chennai","http://www.colleges-in-tamilnadu.com/colleges/2428/Ponnusamy-Nadar-College-of-Education.html","Ponnusamy Nadar College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Ponnusamy Nadar College of Education

R-28, TNHB Quarters

Ayappakkam

Ambattur

Chennai","600 077","Chennai","Chennai","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","St. Joseph's College of Engineering, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/998/St-Josephs-College-of-Engineering.html","St. Joseph's College of Engineering","Engineering","AICTE","1317","Anna University","1994","Co-Education","Self Finance","St. Joseph's College of Engineering,

Old Mamallapuram Road,

Jeppiaar nagar,

Chemmanchery Village,

Sholinganallur Post Office,

Kanchipuram.","600 119","Kanchipuram","Kanchipuram","04424501060","04424501449","[{""Courses"":""» B.Tech. - Bio Technology""},{""Courses"":""» B.Tech. - Chemical Engineering""},{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Electronics And Instrumentation Engineering""},{""Courses"":""» B.E. - Instrumentation and Control Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.Sc. - Computer Technology (Integrated)""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - CAD""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.E. - Power Electronics and Drives""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Dr. Nallini College of Teacher Education, Dharapuram, Erode","http://www.colleges-in-tamilnadu.com/colleges/1987/Dr-Nallini-College-of-Teacher-Education.html","Dr. Nallini College of Teacher Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Dr. Nallini College of Teacher Education

No.68, Ram Nagar

Palani Road

Achiyur Post

Dharapuram","638 673","Dharapuram","Erode","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sree Arumugam Teacher Training College, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/2611/Sree-Arumugam-Teacher-Training-College.html","Sree Arumugam Teacher Training College","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Sree Arumugam Teacher Training College

Rajanagar

Vaithiyanathapuram

Tholudur

Cuddalore","606 303","Cuddalore","Cuddalore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Adhiparasakthi College of Education, Vellore","http://www.colleges-in-tamilnadu.com/colleges/1780/Adhiparasakthi-College-of-Education.html","Adhiparasakthi College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Adhiparasakthi College of Education

G.B. Nagar

Kalavai

Arcot Taluk

Vellore","632 506","Vellore","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","K.K.S. Mani College of Education, Vellore","http://www.colleges-in-tamilnadu.com/colleges/2144/K-K-S-Mani-College-of-Education.html","K.K.S. Mani College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","K.K.S. Mani College of Education

No.78, C.C Road

Vallam Post

Kanamangalam (Via)

Vellore","632 311","Vellore","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Anna University - Coimbatore","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/3/Anna-University-Coimbatore-Affiliated-Colleges.html","Adithya Institute of Technology, Coimbatore","http://www.colleges-in-tamilnadu.com/colleges/574/Adithya-Institute-of-Technology.html","Adithya Institute of Technology","Engineering","AICTE","2744","Anna University - Coimbatore","2008","Co-Education","Self Finance","Adithya Institute of Technology,

Sf No 344,

Sathy Main Road,

S.S. Kulum,

Kurumbapalayam ,

Coimbatore.","641 107","Coimbatore","Coimbatore","0422-2654504","0422-2654507","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","D.M.I. College of Engineering, Tiruvallur","http://www.colleges-in-tamilnadu.com/colleges/633/D-M-I-College-of-Engineering.html","D.M.I. College of Engineering","Engineering","AICTE","1202","Anna University","2001","Co-Education","Self Finance","D.M.I. College of Engineering

Palanchoor

Mevalurkuppam Village

Nazrethpet, Tiruvallur.","602 103","Tiruvallur","Tiruvallur","null","null","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.E. - Computer Science and Engineering""}]"
"Anna University - Coimbatore","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/3/Anna-University-Coimbatore-Affiliated-Colleges.html","J.K.K. Nataraja College of Engineering and Technology, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/695/J-K-K-Nataraja-College-of-Engineering-and-Technology.html","J.K.K. Nataraja College of Engineering and Technology","Engineering","AICTE","2647","Anna University - Coimbatore","2008","Co-Education","Self Finance","J.K.K. Nataraja College of Engineering and Technology,

Post Box No.151,

Natarajapuram,

Thattankuttai Panchayat,

Komarapalayam,

Namakkal.","638 183","Namakkal","Namakkal","04288264726","null","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/1529/College-of-Occupational-Therapy-J-K-K-Munirajah-Medical-Research-Foundation.html","College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation","Occupational Therapy","null","null","Tamil Nadu Dr. M.G.R. Medical University","null","Co-Education","Self Finance","College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation

P.O.Box No:70, Ethirmedu

B.Kumarapalayam

Namakkal","638 183","Namakkal","Namakkal","null","null","[{""Courses"":""» B.O.T. - Occupational Therapy""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","K.M. B.Ed. College, Sivakasi, Virudhunagar","http://www.colleges-in-tamilnadu.com/colleges/2148/K-M-B-Ed-College.html","K.M. B.Ed. College","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","K.M. B.Ed. College

No.180, Kallamanaichkanpatti

Sivakasi","626 131","Sivakasi","Virudhunagar","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","Annasamy Rajammal College of Nursing, Tirunelveli","http://www.colleges-in-tamilnadu.com/colleges/1656/Annasamy-Rajammal-College-of-Nursing.html","Annasamy Rajammal College of Nursing","Nursing","INC","null","Tamil Nadu Dr. M.G.R. Medical University","2008","Co-Education","Self Finance","Annasamy Rajammal College of Nursing

No.3/95, Surandai Road

Veerakeralampudur

Tirunelveli","627 861","Tirunelveli","Tirunelveli","null","null","[{""Courses"":""» B.Sc. - Nursing""}]"
"Bharathidasan University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/8/Bharathidasan-University-Affiliated-Colleges.html","Manickam College of Arts and Science, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/270/Manickam-College-of-Arts-and-Science.html","Manickam College of Arts and Science","Arts & Science","null","null","Bharathidasan University","null","Co-Education","Self Finance","Manickam College of Arts and Science

Pillayarpatti

Thanjavur","613 004","Thanjavur","Thanjavur","null","null","[{""Courses"":""» B.Sc. - Nutrition & Dietetics""},{""Courses"":""» M.Sc. - Computer Science""}]"
"Bharathidasan University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/8/Bharathidasan-University-Affiliated-Colleges.html","Sudharsan College of Arts and Science, Pudukottai","http://www.colleges-in-tamilnadu.com/colleges/483/Sudharsan-College-of-Arts-and-Science.html","Sudharsan College of Arts and Science","Arts & Science","null","null","Bharathidasan University","null","Co-Education","Self Finance","Sudharsan College of Arts and Science

Perumanadu Village

Illuppur Taluk

Pudukottai.","622 104","Pudukottai","Pudukottai","null","null","[]"
"Bharathidasan University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/8/Bharathidasan-University-Affiliated-Colleges.html","Dharmapuram Adinam Arts College, Nagapattinam","http://www.colleges-in-tamilnadu.com/colleges/109/Dharmapuram-Adinam-Arts-College.html","Dharmapuram Adinam Arts College","Arts & Science","null","null","Bharathidasan University","1946","Co-Education","Self Finance","Dharmapuram Adinam Arts College

Tranquebar Road

Mayiladuthurai

Nagapattinam","609 001","Nagapattinam","Nagapattinam","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Information Technology""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Lit. - Tamil""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.A. - Tamil""},{""Courses"":""» P.G.D.C.A - Computer Applications""},{""Courses"":""» Ph.D. - Tamil""},{""Courses"":""» M.Phil. - Tamil""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","K.M.C.H. College of Occupational Therapy, Coimbatore","http://www.colleges-in-tamilnadu.com/colleges/1530/K-M-C-H-College-of-Occupational-Therapy.html","K.M.C.H. College of Occupational Therapy","Occupational Therapy","null","null","Tamil Nadu Dr. M.G.R. Medical University","null","Co-Education","Self Finance","K.M.C.H. College of Occupational Therapy

P.B.No:3209, Avinashi Road

Coimbatore","614 014","Coimbatore","Coimbatore","null","null","[{""Courses"":""» B.O.T. - Occupational Therapy""},{""Courses"":""» M.O.T. - Advanced O.T. Neurology""},{""Courses"":""» M.O.T. - Advanced O.T. Orthopaedics""},{""Courses"":""» M.O.T. - Advanced O.T. Paediatrics""},{""Courses"":""» M.O.T. - Advanced O.T. Psychiatry""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","Texcity College of Pharmacy, Coimbatore","http://www.colleges-in-tamilnadu.com/colleges/1594/Texcity-College-of-Pharmacy.html","Texcity College of Pharmacy","Pharmacy","PCI","null","Tamil Nadu Dr. M.G.R. Medical University","null","Co-Education","Self Finance","Texcity College of Pharmacy

Opp. Karupparayan Kovil

Podanur Main Road

Coimbatore","641 023","Coimbatore","Coimbatore","null","null","[{""Courses"":""» D.Pharm. - Pharmacy""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Ponmari College of Education, Pudukottai","http://www.colleges-in-tamilnadu.com/colleges/2423/Ponmari-College-of-Education.html","Ponmari College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","null","Co-Education","Self Finance","Ponmari College of Education

S.No.30/1, 7 & 8

Sathiyamangalam Village

Pudukottai","622 002","Pudukottai","Pudukottai","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Anna University - Trichy","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/4/Anna-University-Trichy-Affiliated-Colleges.html","Shivani Institute of Technology, Trichy","http://www.colleges-in-tamilnadu.com/colleges/945/Shivani-Institute-of-Technology.html","Shivani Institute of Technology","Engineering","AICTE","3853","Anna University - Trichy","2009","Co-Education","Self Finance","Shivani Institute of Technology,

No. 91, Trichy-Dindigul main road,

Navalur Kuttappattu Village,

Srirangam,

Trichy.","620 018","Trichy","Trichy","04312906379","null","[{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Madurai Kamaraj University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/12/Madurai-Kamaraj-University-Affiliated-Colleges.html","Madurai Kamaraj University Evening College, Dindigul","http://www.colleges-in-tamilnadu.com/colleges/243/Madurai-Kamaraj-University-Evening-College.html","Madurai Kamaraj University Evening College","Arts & Science","null","null","Madurai Kamaraj University","null","Co-Education","Government","Madurai Kamaraj University Evening College, Dindigul

TELC Industrial Training Center

Dindigul","624 003","Dindigul","Dindigul","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Com. - (Regular)""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","College of Occupational Therapy, Christian Medical College, Vellore","http://www.colleges-in-tamilnadu.com/colleges/1528/College-of-Occupational-Therapy-Christian-Medical-College.html","College of Occupational Therapy, Christian Medical College","Occupational Therapy","null","null","Tamil Nadu Dr. M.G.R. Medical University","null","Co-Education","Self Finance","College of Occupational Therapy, Christian Medical College

Vellore","632 002","Vellore","Vellore","null","null","[{""Courses"":""» B.O.T. - Occupational Therapy""}]"
"Anna University - Coimbatore","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/3/Anna-University-Coimbatore-Affiliated-Colleges.html","Sri Krishna College of Engineering and Technology, Coimbatore","http://www.colleges-in-tamilnadu.com/colleges/967/Sri-Krishna-College-of-Engineering-and-Technology.html","Sri Krishna College of Engineering and Technology","Engineering","AICTE","2718","Anna University - Coimbatore","1998","Co-Education","Self Finance","Sri Krishna College of Engineering and Technology,

Sugunapuram,

Kuniamuthur,

Coimbatore.","641 008","Coimbatore","Coimbatore","0422-2678001","0422-2678002","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.Sc. - Computer Technology""},{""Courses"":""» B.Sc. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» B.E. - Mechatronics Engineering""},{""Courses"":""» M.Sc. - Computer Technology""},{""Courses"":""» M.Sc. - Software Engineering (Integrated)""},{""Courses"":""» M.E. - CAD/CAM Engineering""},{""Courses"":""» M.E. - Communication Systems""},{""Courses"":""» M.E. - Computer Science and Engineering""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","A.R. Engineering College, Vadakuchipalayam, Villupuram","http://www.colleges-in-tamilnadu.com/colleges/564/A-R-Engineering-College.html","A.R. Engineering College","Engineering","AICTE","1436","Anna University","2008","Co-Education","Self Finance","A.R. Engineering College,

Vadakuchipalayam,

Kappiyampuliyur Post,

Villupuram.","605 601","Vadakuchipalayam","Villupuram","04146232121","null","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Swaminathan Saraswathi College of Education for Women, Salem","http://www.colleges-in-tamilnadu.com/colleges/2841/Swaminathan-Saraswathi-College-of-Education-for-Women.html","Swaminathan Saraswathi College of Education for Women","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2006","Womens","Self Finance","Swaminathan Saraswathi College of Education for Women

No.4/1, Masinayakanpatty

Ayothiya Pattianam

Salem","636 103","Salem","Salem","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Vaani College of Education, Vaniyambadi, Vellore","http://www.colleges-in-tamilnadu.com/colleges/2916/Vaani-College-of-Education.html","Vaani College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Vaani College of Education

Indira Nagar

Chettiayappanur Post

Vaniyambadi","635 751","Vaniyambadi","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
