poly,poly-href,col-list,col-list-href,CollegeName,CollegeCategory,ApprovedBy,CollegeCode,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses,pagination,pagination-href
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Sri Ramakrishna Polytechnic College, Perambalur","http://www.colleges-in-tamilnadu.com/colleges/1358/Sri-Ramakrishna-Polytechnic-College.html","Sri Ramakrishna Polytechnic College","Polytechnic","null","730","2008","Co-Education","Self Finance","Sri Ramakrishna Polytechnic College, 

Sri Saradha Nagar

Siruvachiur

Perambalur.","621 113","Perambalur","Perambalur","null","null","[{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Pavai Varam Polytechnic College, Rasipuram, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/1273/Pavai-Varam-Polytechnic-College.html","Pavai Varam Polytechnic College","Polytechnic","null","709","2007","Co-Education","Self Finance","Pavai Varam Polytechnic College

Nh-7, Paavai Nagar

Pachal

Rasipuram","637 018","Rasipuram","Namakkal","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","P","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/P/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","St Josephs Polytechnic College, Krishnagiri","http://www.colleges-in-tamilnadu.com/colleges/1379/St-Josephs-Polytechnic-College.html","St Josephs Polytechnic College","Polytechnic","null","810","2009","Co-Education","Self Finance","St Josephs Polytechnic College

Opp To Soolamalai Bus Stop

Periyapanamutlu

Krishnagiri","635 108","Krishnagiri","Krishnagiri","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering (Tool and Die Design)""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Sri Balaji Polytechnic College, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1340/Sri-Balaji-Polytechnic-College.html","Sri Balaji Polytechnic College","Polytechnic","AICTE","385","1995","Co-Education","Self Finance","Sri Balaji Polytechnic College

Balaji Nagar

Kolapakkam

Vandalur

Chennai","600 048","Chennai","Chennai","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Erode Kongu College of Polytechnic, Erode","http://www.colleges-in-tamilnadu.com/colleges/1147/Erode-Kongu-College-of-Polytechnic.html","Erode Kongu College of Polytechnic","Polytechnic","null","731","2008","Co-Education","Self Finance","Erode Kongu College of Polytechnic

Velava Garden

Gnanipalayam

Chennimalai

Perundurai","638 112","Erode","Erode","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","E","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/E/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Annai Madha Polytechnic College, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/1102/Annai-Madha-Polytechnic-College.html","Annai Madha Polytechnic College","Polytechnic","null","814","2009","Womens","Self Finance","Annai Madha Polytechnic College

Edaicheruvai Viilage

Akkanur

Tittagudi","606 106","Cuddalore","Cuddalore","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","A","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/A/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","State Institute of Commerce Education, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1304/State-Institute-of-Commerce-Education.html","State Institute of Commerce Education","Polytechnic","AICTE","106","1965","Co-Education","Government","State Institute of Commerce Education

Taramani

Chennai","600 113","Chennai","Chennai","2254 1828","null","[{""Courses"":""» Dip. in - Modern Office Practice""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Ramu Seetha Polytechnic College, Kariapatty, Virudhunagar","http://www.colleges-in-tamilnadu.com/colleges/1289/Ramu-Seetha-Polytechnic-College.html","Ramu Seetha Polytechnic College","Polytechnic","AICTE","348","1984","Co-Education","Self Finance","Ramu Seetha Polytechnic College

Ramu-Seetha Nagar

Kambikudi

Kariapatty","626 106","Kariapatty","Virudhunagar","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","R","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/R/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Paramveer Polytechnic College, Pennagaram, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/1270/Paramveer-Polytechnic-College.html","Paramveer Polytechnic College","Polytechnic","null","790","2009","Co-Education","Self Finance","Paramveer Polytechnic College

Dharmapuri Main Road

Papparapatty

Pennagaram","636 809","Pennagaram","Dharmapuri","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering (Tool and Die Design)""}]","P","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/P/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","RVS Polytechnic College, Coimbatore","http://www.colleges-in-tamilnadu.com/colleges/1294/RVS-Polytechnic-College.html","RVS Polytechnic College","Polytechnic","AICTE","577","2006","Co-Education","Self Finance","RVS Polytechnic College

Kannampalayam

Sulur

Coimbatore","641 402","Coimbatore","Coimbatore","null","null","[{""Courses"":""» Dip. in - Automobile Engineering""},{""Courses"":""» Dip. in - Computer Science and Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Fashion Technology""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","R","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/R/Polytechnic-Colleges-in-TamilNadu.html"
