_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
911,Sri Lakshmi College of Education,Tamil Nadu Teachers Education University,"Sri Lakshmi College of Education, Perambalur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Sri Lakshmi College of Education

No.115/1, KKC Kalvi Valagam

Karadikullam Village

Kazhuvanthondi

Perambalur",,Perambalur,Perambalur,null,null,B.Ed. - Education
912,Government College of Education for Women,Tamil Nadu Teachers Education University,"Government College of Education for Women, Coimbatore",Teacher Education,"NCTE,NAAC",null,Tamil Nadu Teachers Education University,2001,Co-Education,Self Finance,"Government College of Education for Women

Coimbatore",641 001,Coimbatore,Coimbatore,239 7616,null,B.Ed. - Education
913,A.C.T. College of Engineering and Technology,Anna University,"A.C.T. College of Engineering and Technology, Maduranthagam, Kanchipuram",Engineering,AICTE,1323,Anna University,2008,Co-Education,Self Finance,"A.C.T. College of Engineering and Technology,

Nelvoy Village,

Pukkathurai Post,

Bukkathurai Uthiramerur High Road,

Maduranthagam.",603 107,Maduranthagam,Kanchipuram,04427293090,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
914,Arul Anandar College,Madurai Kamaraj University,"Arul Anandar College, Madurai",Arts & Science,NAAC,null,Madurai Kamaraj University,2004,Co-Education,Self Finance,"Arul Anandar College (Autonomous)

Karumathur

Madurai",625 514,Madurai,Madurai,null,null,"B.Sc. - Chemistry,B.Sc. - Information Technology,B.Sc. - Mathematics,B.Sc. - Physical Education,B.Sc. - Physics,B.Com. - (Regular),B.C.A. - Computer Application,B.B.M. - Business Management,B.B.A. - Business Administration,B.A. - Economics,B.A. - History,M.Sc. - Mathematics,M.Sc. - Physics,M.B.E. - Business Economics,M.A. - Economics,M.A. - Philosophy,Ph.D. - Economics,M.Phil. - Economics"
915,K.A.P. Viswanathan Govt. Medical College,Tamil Nadu Dr. M.G.R. Medical University,"K.A.P. Viswanathan Govt. Medical College, Trichy",Medical,MCI,null,Tamil Nadu Dr. M.G.R. Medical University,1998,Co-Education,Government,"K.A.P. Viswanathan Govt. Medical College

Trichy",620 001,Trichy,Trichy,null,null,"M.B.B.S. - Medicine and Surgery,M.S. - General Surgery,M.D. - Anaesthesiology,M.D. - General Medicine,M.D. - Obstetrtics & Gynaecology,M.D. - Paediatrics"
916,Sir Theagaraya College,University of Madras,"Sir Theagaraya College, Chennai",Arts & Science,null,null,University of Madras,1950,Co-Education,Self Finance,"Sir Theagaraya College

No.1047, T.H.Road

Old Washermanpet

Chennai",600 021,Chennai,Chennai,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.C.A. - Computer Application,B.A. - Economics,B.A. - History,M.Sc. - Applied Microbiology,M.Sc. - Zoology,M.A. - Economics,M.A. - History,Ph.D. - Economics,Ph.D. - History,Ph.D. - Zoology"
917,Sivaji College of Engineering and Technology,Anna University,"Sivaji College of Engineering and Technology, Kanyakumari",Engineering,null,4938,Anna University,2009,Co-Education,Self Finance,"Sivaji College of Engineering and Technology,

Manivila,

Palugal,

Kanyakumari.",629 170,Kanyakumari,Kanyakumari,04712253115,null,"B.E. - Civil Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering"
918,Sree Devi Kumari Women's College,Manonmaniam Sundaranar University,"Sree Devi Kumari Women's College, Kanyakumari",Arts & Science,NAAC,null,Manonmaniam Sundaranar University,1965,Womens,Self Finance,"Sree Devi Kumari Women's College

Kuzhithurai

Kanyakumari",629 163,Kanyakumari,Kanyakumari,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Mathematics,B.Sc. - Zoology,B.Com. - (Regular),B.A. - Economics"
919,Annai Women's College,Bharathidasan University,"Annai Women's College, Karur",Arts & Science,null,null,Bharathidasan University,null,Womens,Self Finance,"Annai Women's College

Aurobindo Nagar

Vennaimalai

Karur",639 006,Karur,Karur,null,null,[
920,Vellore Govt. Medical College,Tamil Nadu Dr. M.G.R. Medical University,"Vellore Govt. Medical College, Vellore",Medical,MCI,null,Tamil Nadu Dr. M.G.R. Medical University,2005,Co-Education,Government,"Vellore Govt. Medical College

Vellore",,Vellore,Vellore,null,null,M.B.B.S. - Medicine and Surgery
921,Padmasree College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Padmasree College of Nursing, Kanchipuram",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2007,Co-Education,Self Finance,"Padmasree College of Nursing

Masilamani Nagar

Wallajabad

Kanchipuram",,Kanchipuram,Kanchipuram,null,null,B.Sc. - Nursing
922,Vellalar College of Education,Tamil Nadu Teachers Education University,"Vellalar College of Education, Erode",Teacher Education,NCTE`,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Vellalar College of Education

Vellalar Educational Trust

Thindal Post

Erode",638 009,Erode,Erode,null,null,B.Ed. - Education
923,Nesamony Memorial Christian College,Manonmaniam Sundaranar University,"Nesamony Memorial Christian College, Kanyakumari",Arts & Science,NAAC,null,Manonmaniam Sundaranar University,1964,Co-Education,Self Finance,"Nesamony Memorial Christian College

Nalloor

Vilavancode

Marthandam

Kanyakumari",629 301,Kanyakumari,Kanyakumari,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.B.A. - Business Administration,B.A. - Economics,B.A. - English,B.A. - History,B.A. - Tamil,B.A. - Tourism & Travel Management,M.Sc. - Mathematics,M.Sc. - Physics,M.Sc. - Zoology,M.Com. - (Regular),M.A. - History,Ph.D. - History,M.Phil. - History"
924,Global College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Global College of Nursing, Kanyakumari",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2008,Co-Education,Self Finance,"Global College of Nursing

Nattalam Village

Vilavancode

Kanyakumari",,Kanyakumari,Kanyakumari,null,null,B.Sc. - Nursing
