_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
1,Sri Padmavathy College of Engineering,Anna University,"Sri Padmavathy College of Engineering, Sriperambudur, Kanchipuram",Engineering,AICTE,1220,Anna University,1999,Co-Education,Self Finance,"Sri Padmavathy College of Engineering,

Mevalur Kuppam,

Sriperumbathur,

Valarpuram,

Kanchipuram.",602 105,Sriperambudur,Kanchipuram,044-27197501,044-24352883,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
2,Gnanamani College of Education,Tamil Nadu Teachers Education University,"Gnanamani College of Education, Rasipuram, Namakkal",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Gnanamani College of Education

No.9, Pudupalayam Road

Rasipuram",637 408,Rasipuram,Namakkal,null,null,"B.P.Ed. - Physical Education,B.Ed. - Education,M.Ed. - Education,D.T.Ed. - Dip. in Teacher Education"
3,Sri S. Ramasamy Naidu Memorial College,Madurai Kamaraj University,"Sri S. Ramasamy Naidu Memorial College, Virudhunagar",Arts & Science,null,null,Madurai Kamaraj University,1970,Co-Education,Aided,"Sri S. Ramasamy Naidu Memorial College

Sattur",626 203,Virudhunagar,Virudhunagar,null,null,"B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Nutrition & Dietetics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.A. - English,B.A. - History,M.Sc. - Chemistry,M.Sc. - Computer Science,M.Sc. - Information Technology,M.Sc. - Mathematics,M.Sc. - Physics,M.Com. - (Regular),P.G.D.C.A - Computer Applications,Ph.D. - Commerce,M.Phil. - Commerce"
4,Indian Harvard Arts and Science College,University of Madras,"Indian Harvard Arts and Science College, Chennai",Arts & Science,null,null,University of Madras,2000,Co-Education,Self Finance,"Indian Harvard Arts and Science College

No.2, Manimegalai Street

Pallikkarani

Chennai",601 302,Chennai,Chennai,null,null,"B.Sc. - Microbiology,B.C.A. - Computer Application,B.B.A. - Business Administration"
5,Sri Bharathivelu Arts and Science College,Tiruvalluvar University,"Sri Bharathivelu Arts and Science College, Vellore",Arts & Science,null,null,Tiruvalluvar University,null,Co-Education,Self Finance,"Sri Bharathivelu Arts and Science College

Kalpattu Village

Walaja Taluk,Vellore.",,Vellore,Vellore,null,null,[
6,M.E.T. Engineering College,Anna University - Tirunelveli,"M.E.T. Engineering College, Thovalai, Kanyakumari",Engineering,null,4929,Anna University - Tirunelveli,2009,Co-Education,Self Finance,"M.E.T. Engineering College,

Mogals Garden,

Aralvaimozhi,

Thovalai,

Kanyakumari.",629 304,Thovalai,Kanyakumari,04652262623,null,"B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
7,SMR East Coast College of Engineering and Technology,Anna University - Trichy,"SMR East Coast College of Engineering and Technology, Thanjavur",Engineering,AICTE,3451,Anna University - Trichy,2010,Co-Education,Self Finance,"SMR East Coast College of Engineering and Technology,

East Coast Road (ECR),

Somanathapattinam,

Thiruvathevan,

Thanjavur.",614 612,Thanjavur,Thanjavur,04373-279430,04373-292929,"B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
8,Auxilium College,Tiruvalluvar University,"Auxilium College, Katpadi, Vellore",Arts & Science,NAAC,null,Tiruvalluvar University,1954,Co-Education,Aided,"Auxilium College,

Gandhi Nagar,

Katpadi,

Vellore",632 006,Katpadi,Vellore,241 774,247 281,"B.Sc. - Bio-Chemistry,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Microbiology,B.Sc. - Physical Education,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.C.A. - Computer Application,B.B.A. - Business Administration,B.A. - English,B.A. - History,M.Sc. - Bio-Informatics,M.Sc. - Chemistry,M.Sc. - Computer Science,M.Sc. - Electronic Media,M.Sc. - Mathematics,M.S.W. - Social Work,M.Com. - (Regular),M.A. - English"
9,Kalaimahal College of Education,Tamil Nadu Teachers Education University,"Kalaimahal College of Education, Nagapatinam, Nagapattinam",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Kalaimahal College of Education

No.3/131, Main Road

Sembanarkoil Post

Tranquebar Taluk

Nagapattinam",609 309,Nagapatinam,Nagapattinam,null,null,B.Ed. - Education
10,Ponnusamy Nadar College of Education,Tamil Nadu Teachers Education University,"Ponnusamy Nadar College of Education, Chennai",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Ponnusamy Nadar College of Education

R-28, TNHB Quarters

Ayappakkam

Ambattur

Chennai",600 077,Chennai,Chennai,null,null,B.Ed. - Education
11,St. Joseph's College of Engineering,Anna University,"St. Joseph's College of Engineering, Kanchipuram",Engineering,AICTE,1317,Anna University,1994,Co-Education,Self Finance,"St. Joseph's College of Engineering,

Old Mamallapuram Road,

Jeppiaar nagar,

Chemmanchery Village,

Sholinganallur Post Office,

Kanchipuram.",600 119,Kanchipuram,Kanchipuram,04424501060,04424501449,"B.Tech. - Bio Technology,B.Tech. - Chemical Engineering,B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Instrumentation and Control Engineering,B.E. - Mechanical Engineering,M.Sc. - Computer Technology (Integrated),M.E. - Applied Electronics,M.E. - CAD,M.E. - Computer Science and Engineering,M.E. - Power Electronics and Drives"
12,Dr. Nallini College of Teacher Education,Tamil Nadu Teachers Education University,"Dr. Nallini College of Teacher Education, Dharapuram, Erode",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Dr. Nallini College of Teacher Education

No.68, Ram Nagar

Palani Road

Achiyur Post

Dharapuram",638 673,Dharapuram,Erode,null,null,B.Ed. - Education
13,Sree Arumugam Teacher Training College,Tamil Nadu Teachers Education University,"Sree Arumugam Teacher Training College, Cuddalore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Sree Arumugam Teacher Training College

Rajanagar

Vaithiyanathapuram

Tholudur

Cuddalore",606 303,Cuddalore,Cuddalore,null,null,B.Ed. - Education
14,Adhiparasakthi College of Education,Tamil Nadu Teachers Education University,"Adhiparasakthi College of Education, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Adhiparasakthi College of Education

G.B. Nagar

Kalavai

Arcot Taluk

Vellore",632 506,Vellore,Vellore,null,null,"B.Ed. - Education,M.Ed. - Education"
15,K.K.S. Mani College of Education,Tamil Nadu Teachers Education University,"K.K.S. Mani College of Education, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"K.K.S. Mani College of Education

No.78, C.C Road

Vallam Post

Kanamangalam (Via)

Vellore",632 311,Vellore,Vellore,null,null,B.Ed. - Education
16,Adithya Institute of Technology,Anna University - Coimbatore,"Adithya Institute of Technology, Coimbatore",Engineering,AICTE,2744,Anna University - Coimbatore,2008,Co-Education,Self Finance,"Adithya Institute of Technology,

Sf No 344,

Sathy Main Road,

S.S. Kulum,

Kurumbapalayam ,

Coimbatore.",641 107,Coimbatore,Coimbatore,0422-2654504,0422-2654507,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
17,D.M.I. College of Engineering,Anna University,"D.M.I. College of Engineering, Tiruvallur",Engineering,AICTE,1202,Anna University,2001,Co-Education,Self Finance,"D.M.I. College of Engineering

Palanchoor

Mevalurkuppam Village

Nazrethpet, Tiruvallur.",602 103,Tiruvallur,Tiruvallur,null,null,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,M.E. - Computer Science and Engineering"
18,J.K.K. Nataraja College of Engineering and Technology,Anna University - Coimbatore,"J.K.K. Nataraja College of Engineering and Technology, Namakkal",Engineering,AICTE,2647,Anna University - Coimbatore,2008,Co-Education,Self Finance,"J.K.K. Nataraja College of Engineering and Technology,

Post Box No.151,

Natarajapuram,

Thattankuttai Panchayat,

Komarapalayam,

Namakkal.",638 183,Namakkal,Namakkal,04288264726,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
19,"College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation",Tamil Nadu Dr. M.G.R. Medical University,"College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation, Namakkal",Occupational Therapy,null,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"College of Occupational Therapy, J.K.K. Munirajah Medical Research Foundation

P.O.Box No:70, Ethirmedu

B.Kumarapalayam

Namakkal",638 183,Namakkal,Namakkal,null,null,B.O.T. - Occupational Therapy
20,K.M. B.Ed. College,Tamil Nadu Teachers Education University,"K.M. B.Ed. College, Sivakasi, Virudhunagar",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"K.M. B.Ed. College

No.180, Kallamanaichkanpatti

Sivakasi",626 131,Sivakasi,Virudhunagar,null,null,B.Ed. - Education
21,Annasamy Rajammal College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Annasamy Rajammal College of Nursing, Tirunelveli",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2008,Co-Education,Self Finance,"Annasamy Rajammal College of Nursing

No.3/95, Surandai Road

Veerakeralampudur

Tirunelveli",627 861,Tirunelveli,Tirunelveli,null,null,B.Sc. - Nursing
22,Manickam College of Arts and Science,Bharathidasan University,"Manickam College of Arts and Science, Thanjavur",Arts & Science,null,null,Bharathidasan University,null,Co-Education,Self Finance,"Manickam College of Arts and Science

Pillayarpatti

Thanjavur",613 004,Thanjavur,Thanjavur,null,null,"B.Sc. - Nutrition & Dietetics,M.Sc. - Computer Science"
23,Sudharsan College of Arts and Science,Bharathidasan University,"Sudharsan College of Arts and Science, Pudukottai",Arts & Science,null,null,Bharathidasan University,null,Co-Education,Self Finance,"Sudharsan College of Arts and Science

Perumanadu Village

Illuppur Taluk

Pudukottai.",622 104,Pudukottai,Pudukottai,null,null,[
24,Dharmapuram Adinam Arts College,Bharathidasan University,"Dharmapuram Adinam Arts College, Nagapattinam",Arts & Science,null,null,Bharathidasan University,1946,Co-Education,Self Finance,"Dharmapuram Adinam Arts College

Tranquebar Road

Mayiladuthurai

Nagapattinam",609 001,Nagapattinam,Nagapattinam,null,null,"B.Sc. - Computer Science,B.Sc. - Information Technology,B.Sc. - Mathematics,B.Sc. - Physics,B.Lit. - Tamil,B.Com. - (Regular),B.B.A. - Business Administration,M.Sc. - Computer Science,M.Sc. - Physics,M.Com. - (Regular),M.A. - Tamil,P.G.D.C.A - Computer Applications,Ph.D. - Tamil,M.Phil. - Tamil"
25,K.M.C.H. College of Occupational Therapy,Tamil Nadu Dr. M.G.R. Medical University,"K.M.C.H. College of Occupational Therapy, Coimbatore",Occupational Therapy,null,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"K.M.C.H. College of Occupational Therapy

P.B.No:3209, Avinashi Road

Coimbatore",614 014,Coimbatore,Coimbatore,null,null,"B.O.T. - Occupational Therapy,M.O.T. - Advanced O.T. Neurology,M.O.T. - Advanced O.T. Orthopaedics,M.O.T. - Advanced O.T. Paediatrics,M.O.T. - Advanced O.T. Psychiatry"
26,Texcity College of Pharmacy,Tamil Nadu Dr. M.G.R. Medical University,"Texcity College of Pharmacy, Coimbatore",Pharmacy,PCI,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"Texcity College of Pharmacy

Opp. Karupparayan Kovil

Podanur Main Road

Coimbatore",641 023,Coimbatore,Coimbatore,null,null,D.Pharm. - Pharmacy
27,Ponmari College of Education,Tamil Nadu Teachers Education University,"Ponmari College of Education, Pudukottai",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,null,Co-Education,Self Finance,"Ponmari College of Education

S.No.30/1, 7 & 8

Sathiyamangalam Village

Pudukottai",622 002,Pudukottai,Pudukottai,null,null,B.Ed. - Education
28,Shivani Institute of Technology,Anna University - Trichy,"Shivani Institute of Technology, Trichy",Engineering,AICTE,3853,Anna University - Trichy,2009,Co-Education,Self Finance,"Shivani Institute of Technology,

No. 91, Trichy-Dindigul main road,

Navalur Kuttappattu Village,

Srirangam,

Trichy.",620 018,Trichy,Trichy,04312906379,null,"B.E. - Civil Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
29,Madurai Kamaraj University Evening College,Madurai Kamaraj University,"Madurai Kamaraj University Evening College, Dindigul",Arts & Science,null,null,Madurai Kamaraj University,null,Co-Education,Government,"Madurai Kamaraj University Evening College, Dindigul

TELC Industrial Training Center

Dindigul",624 003,Dindigul,Dindigul,null,null,"B.Sc. - Computer Science,B.Sc. - Mathematics,B.Com. - (Regular),B.B.A. - Business Administration,M.Sc. - Mathematics,M.Com. - (Regular)"
30,"College of Occupational Therapy, Christian Medical College",Tamil Nadu Dr. M.G.R. Medical University,"College of Occupational Therapy, Christian Medical College, Vellore",Occupational Therapy,null,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"College of Occupational Therapy, Christian Medical College

Vellore",632 002,Vellore,Vellore,null,null,B.O.T. - Occupational Therapy
31,Sri Krishna College of Engineering and Technology,Anna University - Coimbatore,"Sri Krishna College of Engineering and Technology, Coimbatore",Engineering,AICTE,2718,Anna University - Coimbatore,1998,Co-Education,Self Finance,"Sri Krishna College of Engineering and Technology,

Sugunapuram,

Kuniamuthur,

Coimbatore.",641 008,Coimbatore,Coimbatore,0422-2678001,0422-2678002,"B.Tech. - Information Technology,B.Sc. - Computer Technology,B.Sc. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,B.E. - Mechatronics Engineering,M.Sc. - Computer Technology,M.Sc. - Software Engineering (Integrated),M.E. - CAD/CAM Engineering,M.E. - Communication Systems,M.E. - Computer Science and Engineering"
32,A.R. Engineering College,Anna University,"A.R. Engineering College, Vadakuchipalayam, Villupuram",Engineering,AICTE,1436,Anna University,2008,Co-Education,Self Finance,"A.R. Engineering College,

Vadakuchipalayam,

Kappiyampuliyur Post,

Villupuram.",605 601,Vadakuchipalayam,Villupuram,04146232121,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
33,Swaminathan Saraswathi College of Education for Women,Tamil Nadu Teachers Education University,"Swaminathan Saraswathi College of Education for Women, Salem",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2006,Womens,Self Finance,"Swaminathan Saraswathi College of Education for Women

No.4/1, Masinayakanpatty

Ayothiya Pattianam

Salem",636 103,Salem,Salem,null,null,"B.Ed. - Education,M.Ed. - Education"
34,Vaani College of Education,Tamil Nadu Teachers Education University,"Vaani College of Education, Vaniyambadi, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Vaani College of Education

Indira Nagar

Chettiayappanur Post

Vaniyambadi",635 751,Vaniyambadi,Vellore,null,null,B.Ed. - Education
35,Govt. Arts College (Autonomous),Bharathiyar University,"Govt. Arts College (Autonomous), Coimbatore",Arts & Science,NAAC,null,Bharathiyar University,1852,Co-Education,Government,"Govt. Arts College (Autonomous), Coimbatore

Govt. Arts College Road

Coimbatore",641 018,Coimbatore,Coimbatore,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Geography,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Psychology,B.Sc. - Statistics,B.Sc. - Zoology,B.Com. - (Regular),B.Com. - Computer Application,B.B.M. - Business Management,B.A. - Economics,B.A. - English,B.A. - History,B.A. - Political Science,B.A. - Tamil,B.A. - Tourism & Travel Management,M.Sc. - Botany,M.Sc. - Chemistry,M.Sc. - Mathematics,M.Sc. - Physics,M.Sc. - Zoology,M.Com. - (Regular),M.A. - Economics,M.A. - English,M.A. - History,M.A. - Public Administration,M.A. - Tamil,P.G.D. - Banking Management,P.G.D. - Bio-Informatics,P.G.D. - Political Science,P.G.D. - Web Designing,Ph.D. - Botany,Ph.D. - Chemistry,Ph.D. - English,Ph.D. - Mathematics,Ph.D. - Physics,Ph.D. - Zoology,M.Phil. - Botany,M.Phil. - Chemistry,M.Phil. - Computer Science,M.Phil. - English,M.Phil. - Mathematics,M.Phil. - Physics,M.Phil. - Zoology"
36,A.R.J. College of Engineering and Technology,Anna University - Trichy,"A.R.J. College of Engineering and Technology, Mannargudi, Tiruvarur",Engineering,AICTE,3821,Anna University - Trichy,2002,Co-Education,Self Finance,"A.R.J. College of Engineering and Technology,

Thirumakottai Main Road,

Edayarnatham,

Sundarakkottai,

Mannargudi.",614 001,Mannargudi,Tiruvarur,04367-250947,04367-250948,"B.Tech. - Bio Technology,B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering"
37,Jairam Arts and Science College,Periyar University,"Jairam Arts and Science College, Salem",Arts & Science,null,null,Periyar University,1998,Co-Education,,"Jairam Arts and Science College

Near Bharathi Vidhyalaya Hr. Sec. School,

Chinna Thirupathy (PO),

Salem- 636 008,",636 008,Salem,Salem,null,null,[
38,Kamban College Arts and Science for Women,Tiruvalluvar University,"Kamban College Arts and Science for Women, Tiruvannamalai, Tiruvanamalai",Arts & Science,null,null,Tiruvalluvar University,1995,Womens,,"Kamban College of Arts & Science For Women

Mathur,

Tiruvannamalai - 606 603",606 603,Tiruvannamalai,Tiruvanamalai,null,null,"B.Sc. - Computer Science,B.Sc. - Microbiology,B.Com. - (Regular),B.C.A. - Computer Application,M.Sc. - Computer Science"
39,Karpagam Nursing College,Tamil Nadu Dr. M.G.R. Medical University,"Karpagam Nursing College, Coimbatore",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2007,Co-Education,Self Finance,"Karpagam Nursing College

S.F.No.770, 763

Othakkal Mandapam Village

Coimbatore",641 032,Coimbatore,Coimbatore,null,null,B.Sc. - Nursing
40,St. Josephs College of Education,Tamil Nadu Teachers Education University,"St. Josephs College of Education, Tuticorin",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2006,Co-Education,Self Finance,"St. Josephs College of Education

Joseph Nagar

Puthukulam (P.O)

Sathankulam",628 704,Tuticorin,Tuticorin,null,null,B.Ed. - Education
41,The Erode College of Pharmacy,Tamil Nadu Dr. M.G.R. Medical University,"The Erode College of Pharmacy, Erode",Pharmacy,AICTE and PCI,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"The Erode College of Pharmacy

Perundurai Main Road

Veppampalayam

Vallipurathanpalayam (P.O)

Erode",638 112,Erode,Erode,null,null,"B.Pharm. - Pharmacy,M.Pharm. - Pharmaceutics"
42,Bharath Niketan Engineering College,Anna University - Trichy,"Bharath Niketan Engineering College, Aundipatti, Theni",Engineering,AICTE,3902,Anna University - Trichy,1998,Co-Education,Self Finance,"Bharath Niketan Engineering College,
Sri Gowri Nagar,
Thimmarasanaickanoor,
Aundipatti,
T.Subbulapuram,
Theni.",625 536,Aundipatti,Theni,04546-242970,04546-253230,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Mechanical Engineering"
43,Easwari Engineering College,Anna University,"Easwari Engineering College, Ramapuram, Chennai",Engineering,AICTE,null,Anna University,1996,Co-Education,Self Finance,"Easwari Engineering College,

Bharathi Salai,

Ramapuram,

Chennai.",600 089,Ramapuram,Chennai,044 - 22490853,044 - 22490431,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Mechanical Engineering,M.E. - Communication Systems,M.E. - Computer Science and Engineering,M.E. - Embedded System,M.E. - Power Electronics and Drives,M.E. - Software Engineering,M.E. - VLSI Design,M.C.A. - Computer Application,M.B.A. - Business Administration"
44,Miot College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Miot College of Nursing, Chennai",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,null,Womens,Self Finance,"Miot College of Nursing

No.4/112, Mount Poonamalle Road

Manapakkam

Chennai",600 089,Chennai,Chennai,null,null,B.Sc. - Nursing
45,Srah College of Education for Women,Tamil Nadu Teachers Education University,"Srah College of Education for Women, Erode",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Womens,Self Finance,"Srah College of Education for Women

Nanjai Uthukuli Post

Erode",638 104,Erode,Erode,null,null,B.Ed. - Education
46,Thangavelu Engineering College,Anna University,"Thangavelu Engineering College, Chennai",Engineering,null,1319,Anna University,null,Co-Education,Self Finance,"Thangavelu Engineering College,

Rajiv Gandhi salai,

IT Highway,

Old Mahabalipuram Road,

Karapakkam,

Chennai.",600 097,Chennai,Chennai,044-24911282,044-24501045,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Mechanical Engineering,M.C.A. - Computer Application,M.B.A. - Business Administration"
47,Christ College of Education for Women,Tamil Nadu Teachers Education University,"Christ College of Education for Women, Dharmapuri",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Womens,Self Finance,"Christ College of Education for Women

Christ Garden

Collector Bungalow Back Side

Jetihalli

Dharmapuri",636 707,Dharmapuri,Dharmapuri,null,null,B.Ed. - Education
48,M.R. Govt. Arts College,Bharathidasan University,"M.R. Govt. Arts College, Tiruvarur",Arts & Science,null,null,Bharathidasan University,1971,Co-Education,Government,"M.R. Govt. Arts College

Mannargudi

Tiruvarur",614 001,Tiruvarur,Tiruvarur,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Microbiology,B.Sc. - Physics,B.Com. - (Regular),B.B.A. - Business Administration,B.A. - English,B.A. - History,B.A. - Tamil,M.Sc. - Chemistry,M.A. - History,M.A. - Tamil"
49,New Millennium College of Education,Tamil Nadu Teachers Education University,"New Millennium College of Education, Cuddalore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"New Millennium College of Education

Kumarapettai

Pathirikuppam

Cuddalore",607 401,Cuddalore,Cuddalore,null,null,B.Ed. - Education
50,Dr. M.G.R. Educational and Research Institute,Deemed University,"Dr. M.G.R. Educational and Research Institute, Chennai",Teacher Education,NCTE,null,Deemed University,2005,Co-Education,Self Finance,"Dr. M.G.R. Educational and Research Institute

Periyar E.V.R. High Road

Maduravoyal

Chennai",600 095,Chennai,Chennai,null,null,B.Ed. - Education
51,"Balaji Institute of Engineering and Technology,",Anna University,"Balaji Institute of Engineering and Technology,, Kanchipuram, Chennai",Engineering,AICTE,1435,Anna University,2008,Co-Education,Self Finance,"Balaji Institute of Engineering and Technology,

Thandalam Village,

Thiruporur,

Kanchipuram,

Chennai.",603 110,Kanchipuram,Chennai,044-27498544,null,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
52,D.V.C. College of Education,Tamil Nadu Teachers Education University,"D.V.C. College of Education, Cuddalore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"D.V.C. College of Education

Thirumurugan Nagar

Srimushnam

Kattumannarkoil Taluk

Cuddalore",608 703,Cuddalore,Cuddalore,null,null,B.Ed. - Education
53,Jaya College of Paramedical Sciences,Tamil Nadu Dr. M.G.R. Medical University,"Jaya College of Paramedical Sciences, Tiruninravur, Tiruvallur",Physiotherapy,null,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"Jaya College of Paramedical Sciences

No.8, IInd Main Road

Krishnapuram

M.T.H. Road

Tiruninravur",602 024,Tiruninravur,Tiruvallur,null,null,B.P.T. - Physiotherapy
54,Durai Vidhyalakshmi College of Education,Tamil Nadu Teachers Education University,"Durai Vidhyalakshmi College of Education, Gudiyattam, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Durai Vidhyalakshmi College of Education

Keelpudur Village

Chennangkuppam Post

Gudiyattam",632 602,Gudiyattam,Vellore,null,null,B.Ed. - Education
55,Malankara Catholic College,Manonmaniam Sundaranar University,"Malankara Catholic College, Kanyakumari",Arts & Science,NAAC,null,Manonmaniam Sundaranar University,1998,Co-Education,Self Finance,"Malankara Catholic College

Mariagiri

Kaliyakavilai

Kanyakumari",629 153,Kanyakumari,Kanyakumari,null,null,"B.Sc. - Bio-Chemistry,B.Sc. - Bio-Technology,B.Sc. - Computer Science,B.Sc. - Microbiology,B.Sc. - Physics,B.Sc. - Software Engineering,M.Sc. - Bio-Chemistry,M.Sc. - Bio-Technology,M.Sc. - Software Engineering,M.S.W. - Social Work,M.Phil. - Bio-Technology"
56,Ganadipathy Tulsi's Engineering College,Anna University,"Ganadipathy Tulsi's Engineering College, Vellore",Engineering,AICTE,1507,Anna University,2000,Co-Education,Self Finance,"Ganadipathy Tulsi's Engineering College,

Chittoor - Cuddalore Road,

Kaniyambadi,

Vellore.",632 102,Vellore,Vellore,0416-2230900,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,M.E. - Computer and Communication Engineering,M.E. - Computer Science and Engineering,M.E. - Embedded Systems Technology"
57,Jairam College of Education,Tamil Nadu Teachers Education University,"Jairam College of Education, Karur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Jairam College of Education
Salem Bye - Pass Road
NH7, Near Mahamariamman Temple
Karur",639 002,Karur,Karur,null,null,B.Ed. - Education
58,Arunai College of Education,Tamil Nadu Teachers Education University,"Arunai College of Education, Tiruvannamalai, Tiruvanamalai",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Arunai College of Education

No.197/56B, Anna Salai

Tindivanam Road

Tiruvannamalai",606 601,Tiruvannamalai,Tiruvanamalai,null,null,B.Ed. - Education
